SMILES	HET	IUPAC_NAME	ORGANIC	NORM_ATOMS	HVY_ATMS	aLogP	MR	MW	HBA	HBD	TPSA	LABUTEASA	ROTBONDS	NUMRINGS	SAT_RINGS	ALIPH_RINGS	ARO_RINGS	MACROCYCLES	Fsp3	SA	QED	IF_SCORE	in_out	Set
C[C@H]1C[C@@]2(O[C@H]3C[C@H]4[C@@H]5CC[C@H]6C[C@H](O)CC[C@]6(C)[C@H]5[C@@H](O)C[C@]4(C)[C@H]3[C@@]2(C)O)OC1(C)C	A1I1L	hippuristanol	True	True	33.0	4.268000000000003	125.16940000000007	462.33	5.0	3.0	79.15	199.1674929109644	0.0	6.0	6.0	6.0	0.0	0.0	1.0	5.831621396487345	0.5010879758375569	-0.17005073100240692	-1	Drug-Like
OC[C@H]1O[C@H]2C=C[C@H]3O[C@H]4[C@H](O)[C@H]5OCC=CC[C@@H]5O[C@@H]4C[C@@H]3O[C@@H]2C/C=C\[C@@H]1O	ENE	(4z)-2,8:7,12:11,15:14,18:17,22-pentaanhydro-4,5,6,9,10,13,19,20,21-nonadeoxy-d-arabino-d-allo-d-allo-docosa-4,9,20-trienitol	True	True	30.0	0.007800000000001306	104.75440000000005	422.19	8.0	3.0	106.84000000000002	175.2554979700818	1.0	5.0	2.0	5.0	0.0	0.0	0.7272727272727273	5.409145147955327	0.5076023294412738	-0.12865591551714878	-1	Drug-Like
OC[C@@]1(CCC23CC4CC(CC(C4)C2)C3)NC[C@H](O)[C@@H](O)[C@@H]1O	A1IPB	(2r,3r,4r,5s)-2-[2-(1-adamantyl)ethyl]-2-(hydroxymethyl)piperidine-3,4,5-triol	True	True	23.0	0.3999999999999995	85.67890000000003	325.23	5.0	5.0	92.95	137.64673955084706	4.0	5.0	5.0	5.0	0.0	0.0	1.0	5.6196936311351156	0.5159125213410692	-0.15176546556865617	-1	Drug-Like
CN1C(=O)[C@]23C[C@H]4C(C)(C)[C@@]5(C[C@@]41CN2CC[C@@]3(C)O)C(=O)Nc1c5ccc2c1OC=CC(C)(C)O2	H8U	paraherquamide a	True	True	36.0	2.7961000000000014	132.77550000000005	493.26	6.0	2.0	91.34000000000002	211.1494376181748	0.0	8.0	5.0	7.0	1.0	0.0	0.6428571428571429	6.72652378284366	0.5777141518440776	-0.15839165740210231	-1	Drug-Like
C[C@H]1CC[C@]2(OC1)O[C@H]1[C@H](O)[C@@H]3[C@H]4CC[C@@H]5C[C@H](O)[C@@H](O)C[C@@]5(C)[C@@H]4CC[C@@]3(C)[C@@H]1[C@@H]2C	E7U	(1s,2r,3r,4r,5's,6s,7s,8s,9r,12r,13r,15s,16s,18r)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.0^{2,9}.0^{4,8}.0^{13,18}]icosane-6,2'-oxane]-3,15,16-triol	True	True	32.0	3.735400000000004	120.50440000000008	448.32	5.0	3.0	79.15	192.8025507965678	0.0	6.0	6.0	6.0	0.0	0.0	1.0	5.607004828014692	0.5261913501024588	-0.1578116037817477	-1	Drug-Like
CC(C)CCOc1nc(N2C[C@@H]3C(C(=O)O)[C@@H]3C2)ccc1C(=O)NC1[C@@H]2CC3C[C@H]1CC(O)(C3)C2	6N3	(1~{r},5~{s})-3-[6-(3-methylbutoxy)-5-[[(1~{r},3~{s})-5-oxidanyl-2-adamantyl]carbamoyl]pyridin-2-yl]-3-azabicyclo[3.1.0]hexane-6-carboxylic acid	True	True	35.0	2.9427000000000016	129.2648000000001	483.27	6.0	3.0	111.99	205.98537463732055	8.0	7.0	6.0	6.0	1.0	0.0	0.7407407407407407	5.541329990953789	0.5211753377468399	-0.15732552666789218	-1	Drug-Like
NC[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3C[C@@](O)(C1)C[C@](O)(C3)C2	C8S	(2s)-2-amino-1-[(1s,3s,5s)-3-(aminomethyl)-2-azabicyclo[3.1.0]hexan-2-yl]-2-[(1r,3r,5s,7s)-3,5-dihydroxytricyclo[3.3.1.1~3,7~]decan-1-yl]ethan-1-one	True	True	24.0	-0.2919999999999973	87.70040000000003	335.22	5.0	4.0	112.81	142.10371587359032	3.0	6.0	6.0	6.0	0.0	0.0	0.9444444444444444	6.085904550962538	0.5659401323647256	-0.15521650012115523	-1	Drug-Like
CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCC(=O)N1)CC1(CCC1)O2	1R8	(3s)-3-[(1r)-2-{[(4s)-6-ethyl-3,4-dihydrospiro[chromene-2,1'-cyclobutan]-4-yl]amino}-1-hydroxyethyl]-4-azabicyclo[10.3.1]hexadeca-1(16),12,14-trien-5-one	True	True	36.0	5.179900000000004	143.26319999999993	490.32	4.0	3.0	70.59	215.5739294874716	5.0	5.0	1.0	3.0	2.0	1.0	0.5806451612903226	5.532138615651985	0.5401636925513037	-0.14086922016897568	-1	Drug-Like
C[C@@H]1C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O[C@H]([C@@H]2CC[C@H]2C(=O)O)CCC/C=C(\C#N)[C@H](O)[C@@H](C)C1	BC9	(1r,2r)-2-[(2s,6e,8r,9s,11r,13s,15s,16s)-7-cyano-8,16-dihydroxy-9,11,13,15-tetramethyl-18-oxooxacyclooctadec-6-en-2-yl]cyclobutanecarboxylic acid	True	True	34.0	4.4694800000000035	128.4144000000001	477.31	6.0	3.0	127.85000000000001	203.7383510305498	2.0	2.0	1.0	2.0	0.0	1.0	0.8148148148148148	5.35637429712164	0.5006171563251351	-0.15513471878280632	-1	Drug-Like
COc1cc2cc(OC)c1OCCCCCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1	A1IN6	(2~{s},9~{s})-2-cyclohexyl-20,23-dimethoxy-11,18-dioxa-4-azatricyclo[17.2.2.0^{4,9}]tricosa-1(21),19,22-triene-3,10-dione	True	True	35.0	5.244800000000005	133.13600000000002	487.29	6.0	0.0	74.30000000000001	208.9796949639531	3.0	5.0	2.0	4.0	1.0	2.0	0.7142857142857143	4.558275383640669	0.5427100955632289	-0.14834343692117075	-1	Drug-Like
